,First Name,Last Name,Height,Flavour,Country of Origin,Favorite Icecream,Like Liquorice,Times Visited Italy,First Time London,Steps per Day
89,Carol,Clarke,170.89,French Vanilla,Japan,Vanilla,1,0,0,7102
90,Kristin,Kelley,165.84,Butter Pecan,Denmark,Vanilla,0,4,0,3474
91,Peggy,Levine,172.74,French Vanilla,Sweden,Strawberry,1,6,0,8530
92,Melinda,Thomas,154.72,Cookies and Cream,Norway,Vanilla,0,3,0,15206
93,Alexander,Browning,170.18,Butter Pecan,Norway,Vanilla,0,0,0,4377
94,Johnny,Perry,181.24,Butter Pecan,Japan,Chocolate,1,5,0,6142
95,Dominic,Shepherd,167.87,Butter Pecan,Japan,Strawberry,1,0,0,9417
96,Karen,Woodward,180.55,Cookies and Cream,Norway,Chocolate,0,0,0,11561
97,Latoya,Browning,174.28,Mint Chocolate Chip,Sweden,Vanilla,1,6,0,4641
98,Jasmine,Perry,154.52,Neapolitan,Japan,Chocolate,1,0,0,12897
99,Crystal,Hampton,174.78,Strawberry,Germany,Vanilla,0,4,0,8719
100,Adrian,Baird,159.4,Cookies and Cream,Sweden,Chocolate,0,0,0,13288
101,Cindy,Murphy,181.4,French Vanilla,Denmark,Strawberry,0,4,1,8748
102,Thomas,Shepherd,178.24,Mint Chocolate Chip,Sweden,Vanilla,0,3,0,7607
103,Shawn,Serrano,168.9,Cookies and Cream,Denmark,Strawberry,0,5,0,12516
104,Juan,Sanchez,177.36,Cookies and Cream,Denmark,Strawberry,1,3,0,8973
105,Kristina,Thomas,188.92,Butter Pecan,Sweden,Vanilla,1,0,0,8934
106,Caitlyn,Woodward,179.85,Neapolitan,Sweden,Vanilla,1,5,0,5805
107,Kristina,Young,168.98,Cookies and Cream,China,Vanilla,0,3,0,6407
108,Jerry,Tate,171.82,Cookies and Cream,Sweden,Strawberry,0,3,0,14974
109,Dana,Thomas,184.66,French Vanilla,Sweden,Vanilla,0,0,0,10764
110,Judy,Yates,173.05,French Vanilla,Sweden,Chocolate,1,3,0,7524
111,Hunter,Savage,171.22,French Vanilla,Denmark,Strawberry,1,0,0,1944
112,Allison,Stephens,189.08,Strawberry,Denmark,Vanilla,0,6,1,9957
113,Cathy,Beck,153.13,Mint Chocolate Chip,Sweden,Chocolate,1,3,0,12688
114,Christine,Morrow,180.55,Cookies and Cream,Sweden,Vanilla,1,6,0,6861
115,Henry,Lucas,184.42,Mint Chocolate Chip,China,Strawberry,1,6,0,8837
116,Brett,Jimenez,174.28,Strawberry,Japan,Stracciatella,1,5,0,14060
117,Bradley,Howell,182.37,Cookies and Cream,Sweden,Stracciatella,0,0,0,10525
118,Gilbert,Merritt,195.23,Cookies and Cream,Denmark,Vanilla,1,0,0,6924
119,Lynn,Bishop,172.44,Mint Chocolate Chip,Sweden,Chocolate,1,6,0,3967
120,Brett,Thomas,187.29,French Vanilla,Sweden,Vanilla,1,5,1,9265
121,Barry,Woodward,163.03,Mint Chocolate Chip,Norway,Vanilla,1,3,0,15933
122,Crystal,Young,148.01,Mint Chocolate Chip,Japan,Vanilla,1,3,0,1259
123,Michele,Aguilar,167.15,Neapolitan,Sweden,Vanilla,0,6,0,2938
124,Thomas,Shepherd,163.57,Cookies and Cream,Japan,Vanilla,1,0,0,14535
125,Christine,Bray,172.95,French Vanilla,Sweden,Chocolate,0,0,0,8538
126,Elijah,Morrow,173.84,Strawberry,Norway,Strawberry,0,6,0,11561
127,Pamela,Schultz,157.24,Butter Pecan,Sweden,Strawberry,0,3,0,5728
128,Jerry,Haley,166.29,Mint Chocolate Chip,Sweden,Stracciatella,1,6,0,2493
129,Ricky,Herman,166.71,Mint Chocolate Chip,Denmark,Stracciatella,1,0,0,12418
130,Kellie,Warner,161.23,Cookies and Cream,Norway,Vanilla,0,6,0,8143
131,Thomas,Reilly,171.06,French Vanilla,Denmark,Vanilla,1,4,0,4119
132,Cynthia,Hudson,157.19,Strawberry,Sweden,Vanilla,0,6,1,6924
133,Carol,Beck,168.85,French Vanilla,Sweden,Chocolate,0,3,0,6062
134,Clarence,Hartman,165.93,Butter Pecan,Sweden,Vanilla,0,0,0,5815
135,Brett,Ellison,172.44,Cookies and Cream,Sweden,Strawberry,1,3,0,9956
136,Linda,Mack,167.16,French Vanilla,China,Vanilla,1,6,0,9662
137,Brett,Schneider,165.41,Strawberry,Sweden,Vanilla,0,3,0,7193
138,Nicholas,Evans,177.36,Cookies and Cream,Sweden,Vanilla,0,3,1,10146
139,Micheal,Fox,173.84,Cookies and Cream,Sweden,Vanilla,1,3,0,7653
140,Ruth,Larson,170.57,Cookies and Cream,Sweden,Vanilla,1,3,0,8431
141,Caitlyn,Morton,153.42,Mint Chocolate Chip,Sweden,Strawberry,0,3,0,5341
142,Troy,Howell,175.08,French Vanilla,Sweden,Vanilla,1,3,0,6270
143,Chris,Tate,172.74,Cookies and Cream,China,Strawberry,0,5,0,3063
144,Gerald,Garcia,153.58,Cookies and Cream,Sweden,Strawberry,1,6,0,6512
145,Troy,Holmes,173.99,Butter Pecan,Sweden,Vanilla,1,0,0,11301
146,Brandi,Ibarra,158.2,Cookies and Cream,Sweden,Strawberry,0,6,0,5719
147,Meredith,Howell,173.92,Mint Chocolate Chip,Japan,Strawberry,1,5,0,11870
148,Lawrence,Rollins,180.43,Strawberry,Sweden,Chocolate,0,3,0,2786
149,Tracy,Mccoy,169.27,French Vanilla,Japan,Vanilla,1,4,0,9259
150,Robin,Haley,157.91,Cookies and Cream,Denmark,Strawberry,0,5,0,9959
151,Patricia,Mathis,173.84,Butter Pecan,Sweden,Strawberry,1,3,0,3401
152,Claire,Hampton,163.57,Butter Pecan,Norway,Stracciatella,1,6,0,6909
153,Chad,Murray,167.15,Neapolitan,Japan,Strawberry,1,3,0,8431
154,Michele,Macias,164.59,Cookies and Cream,Sweden,Vanilla,0,5,0,8641
155,Miguel,Erickson,171.82,French Vanilla,Italy,Vanilla,0,3,0,5680
156,Brian,Pearson,165.95,Butter Pecan,Norway,Strawberry,1,3,0,7941
157,Johnny,Hanson,177.36,Neapolitan,Sweden,Vanilla,0,4,0,8530
158,Alisha,Barron,172.97,Cookies and Cream,Japan,Strawberry,0,6,0,6426
159,Nicholas,Conley,169.1,Strawberry,Denmark,Strawberry,0,0,0,4680
160,Patrick,Harvey,184.1,French Vanilla,Denmark,Vanilla,0,3,1,2418
161,Laura,Alexander,167.15,French Vanilla,Denmark,Strawberry,1,3,0,5805
162,Crystal,Larson,156.91,Cookies and Cream,Sweden,Stracciatella,0,0,0,10092
163,Max,Burton,162.47,Mint Chocolate Chip,Japan,Vanilla,0,3,0,11485
164,Carol,Curtis,157.49,Cookies and Cream,Denmark,Stracciatella,1,0,0,9752
165,Pamela,Bowman,163.82,Cookies and Cream,Sweden,Strawberry,0,5,0,9957
166,Miguel,Kirk,164.48,Neapolitan,Sweden,Vanilla,0,3,0,8102
167,Devon,Reilly,157.19,Neapolitan,Sweden,Chocolate,0,6,0,10491
168,Victoria,Lindsey,180.43,Cookies and Cream,Sweden,Chocolate,0,3,0,7102
169,Edwin,Mathis,180.43,Mint Chocolate Chip,Italy,Vanilla,1,0,0,5297
170,Patrick,Dean,152.12,Butter Pecan,Denmark,Vanilla,1,3,0,2125
171,Erica,Webb,171.55,Strawberry,Sweden,Stracciatella,1,3,0,14353
172,Traci,Cole,175.43,Cookies and Cream,Japan,Vanilla,0,6,1,7102
173,Dana,Murphy,183.5,French Vanilla,Sweden,Strawberry,1,0,1,8453
174,Chris,Paul,169.91,Butter Pecan,Sweden,Vanilla,1,3,0,10089
175,Kristin,Davis,171.55,Neapolitan,Denmark,Vanilla,0,6,0,11833
176,Rebekah,Ramos,166.7,Mint Chocolate Chip,Denmark,Vanilla,1,0,0,5875
177,Caitlyn,Conley,154.52,Butter Pecan,China,Vanilla,1,0,1,11921
178,Crystal,Moreno,179.38,Strawberry,Norway,Chocolate,0,5,0,8183
179,Briana,Hill,175.63,Butter Pecan,Denmark,Vanilla,0,6,0,4680
180,Patrick,Davidson,184.89,French Vanilla,Japan,Vanilla,1,0,0,7948
181,Jordan,Hensley,172.55,Neapolitan,Italy,Vanilla,0,6,0,7809
182,Tanner,Hartman,154.52,Cookies and Cream,Denmark,Strawberry,1,3,0,9990
183,Shaun,Howell,177.12,Strawberry,Sweden,Vanilla,0,4,0,8431
184,Dorothy,Lindsey,188.18,Cookies and Cream,Norway,Stracciatella,0,3,0,14126
185,Caroline,Parrish,175.18,Strawberry,China,Vanilla,1,0,0,8040
186,Denise,Pearson,175.11,Strawberry,Sweden,Chocolate,1,5,0,8921
187,Claire,Oneal,169.27,Neapolitan,Sweden,Vanilla,1,5,0,7714
188,Briana,Wagner,178.47,Strawberry,Norway,Chocolate,0,0,0,6995
189,Clarence,Stout,163.77,Cookies and Cream,Denmark,Vanilla,1,3,0,6062
190,Veronica,Coffey,156.9,Cookies and Cream,Norway,Strawberry,0,3,0,14974
191,Kellie,Browning,159.98,Neapolitan,Sweden,Vanilla,0,3,0,13858
192,Grace,Zimmerman,162.24,French Vanilla,Sweden,Strawberry,1,0,0,4377
193,Jasmine,Young,173.84,French Vanilla,Sweden,Strawberry,0,3,0,9544
194,Alisha,Cervantes,186.45,French Vanilla,Norway,Stracciatella,1,6,0,6540
195,Leah,Stout,157.13,Cookies and Cream,Norway,Chocolate,0,3,0,5972
196,Damon,Cantu,150.2,Butter Pecan,Norway,Chocolate,0,6,0,6069
197,Stephanie,Lamb,171.82,French Vanilla,Sweden,Vanilla,1,0,0,3128
198,Nathaniel,Morrow,170.91,Cookies and Cream,Norway,Vanilla,0,3,0,6107
199,Traci,Ramos,165.84,Cookies and Cream,Norway,Strawberry,0,3,0,9223
200,Gerald,Melton,169.83,French Vanilla,Sweden,Vanilla,1,6,0,3611
201,Gregory,Merritt,177.88,Mint Chocolate Chip,Norway,Strawberry,1,3,0,10173
202,Shirley,Clarke,181.99,Cookies and Cream,Denmark,Vanilla,1,4,1,9652
203,Toni,Leon,160.31,French Vanilla,Japan,Vanilla,1,3,0,9508
204,Jasmine,Wells,177.26,Butter Pecan,Denmark,Strawberry,0,0,0,10837
205,Chad,Merritt,175.08,Cookies and Cream,Sweden,Vanilla,1,0,0,6792
206,Dawn,Moreno,166.3,French Vanilla,Japan,Stracciatella,1,3,0,2786
207,Kellie,Bray,169.41,Mint Chocolate Chip,China,Strawberry,0,3,0,1766
208,Caroline,Kirk,186.45,Butter Pecan,Sweden,Chocolate,0,3,0,4330
209,Caroline,Bishop,172.92,French Vanilla,Japan,Vanilla,0,0,0,9706
210,Christine,White,167.61,French Vanilla,Norway,Vanilla,1,3,0,10462
211,Bradley,Manning,187.48,Cookies and Cream,Norway,Vanilla,0,3,0,7476
212,Cathy,Davidson,167.34,Strawberry,Norway,Strawberry,1,0,0,5680
213,Gabriella,Lowe,195.23,Cookies and Cream,Sweden,Strawberry,1,3,0,1894
214,Bonnie,Flores,164.28,Cookies and Cream,Sweden,Stracciatella,1,4,0,10299
215,Breanna,Riddle,158.81,Cookies and Cream,Denmark,Vanilla,0,6,0,8664
216,Adrian,Blankenship,158.81,Cookies and Cream,Norway,Vanilla,1,3,0,7653
217,Gerald,Walker,178.94,Neapolitan,Sweden,Strawberry,1,0,0,8228
218,Michele,Moreno,178.63,French Vanilla,China,Vanilla,0,3,0,8573
219,Kaylee,Franklin,171.57,Neapolitan,Norway,Strawberry,1,3,0,12140
220,Katie,Moreno,169.96,Strawberry,Sweden,Chocolate,1,5,0,10424
221,Samantha,Merritt,173.46,Cookies and Cream,Norway,Vanilla,0,3,0,12516
222,Aaron,Cole,163.07,Neapolitan,Sweden,Strawberry,0,3,0,11493
223,Dorothy,Sanchez,157.13,Cookies and Cream,Denmark,Strawberry,1,6,0,11207
224,Bradley,Lindsey,154.16,French Vanilla,Denmark,Strawberry,1,3,0,4930
225,Mathew,Kirk,172.44,Strawberry,Japan,Vanilla,0,3,0,9990
226,Meredith,Palmer,184.1,Mint Chocolate Chip,Denmark,Stracciatella,0,4,0,4731
227,Glen,Glover,164.59,Pistachio,Sweden,Strawberry,0,4,0,8074
228,Michele,Parrish,176.77,Cookies and Cream,Sweden,Strawberry,0,4,0,5047
229,Micheal,Grant,178.27,Strawberry,Sweden,Strawberry,0,3,0,14492
230,Denise,Morrow,172.92,Strawberry,Japan,Stracciatella,0,3,1,9508
231,Linda,Conley,164.84,Neapolitan,Denmark,Vanilla,1,3,0,6540
232,Kim,Parsons,195.23,French Vanilla,China,Vanilla,0,3,0,2595
233,Linda,Bowman,158.81,Mint Chocolate Chip,Denmark,Strawberry,1,3,0,9859
234,Gabriella,Quinn,167.27,French Vanilla,Japan,Strawberry,1,3,0,9518
235,Megan,Hartman,187.29,French Vanilla,Sweden,Strawberry,0,0,0,4374
236,Suzanne,Leon,163.57,Cookies and Cream,Italy,Vanilla,1,3,0,7350
237,Ricky,Ellison,153.68,Cookies and Cream,Sweden,Stracciatella,0,3,0,4680
238,Ian,Melton,189.25,Mint Chocolate Chip,Sweden,Stracciatella,1,0,1,10942
239,Shaun,Cantu,175.42,Neapolitan,Japan,Chocolate,0,4,0,12737
240,Gabriella,Davidson,150.2,Mint Chocolate Chip,Norway,Strawberry,0,0,0,8346
241,Grace,Baird,177.88,Strawberry,Norway,Vanilla,0,3,0,3650
242,Claire,Berg,170.38,Cookies and Cream,Sweden,Chocolate,0,3,0,6540
243,Sheri,Merritt,153.13,French Vanilla,Italy,Vanilla,0,4,0,10525
244,Brenda,Meadows,169.91,Neapolitan,Norway,Vanilla,0,0,0,13639
245,Margaret,Bray,171.03,Butter Pecan,Sweden,Strawberry,1,0,0,2261
246,Scott,Travis,184.18,Mint Chocolate Chip,Sweden,Strawberry,0,6,0,8796
247,Margaret,Paul,178.42,Mint Chocolate Chip,Denmark,Vanilla,1,3,1,8112
248,Manuel,Browning,171.55,Butter Pecan,Norway,Vanilla,1,3,0,7350
249,Alexander,Browning,165.85,Cookies and Cream,Sweden,Chocolate,1,3,0,10071
250,Troy,Bennett,155.83,Cookies and Cream,Sweden,Vanilla,1,3,0,11499
251,Damon,Stewart,174.73,Mint Chocolate Chip,Sweden,Vanilla,1,0,0,5805
252,Ann,Shepherd,186.18,Mint Chocolate Chip,Sweden,Strawberry,1,3,0,12437
253,Matthew,Parrish,187.29,Mint Chocolate Chip,Sweden,Chocolate,1,0,0,2418
254,Shirley,Tran,177.84,Cookies and Cream,Sweden,Vanilla,0,0,0,10525
255,Dana,Yates,156.22,Mint Chocolate Chip,China,Strawberry,1,4,0,5805
256,Tanner,Sherman,182.68,French Vanilla,Denmark,Strawberry,1,0,0,11738
257,Wendy,Figueroa,174.18,French Vanilla,Norway,Strawberry,0,5,0,5276
258,Pamela,Gomez,170.68,Mint Chocolate Chip,Norway,Chocolate,0,0,0,7350
259,Christopher,Leon,183.53,French Vanilla,Sweden,Strawberry,0,3,0,11916
260,Gabriella,Patel,171.55,Mint Chocolate Chip,Sweden,Strawberry,0,5,0,1490
261,Katie,Peck,150.2,Strawberry,Sweden,Strawberry,1,3,0,7039
262,Latoya,Bray,174.84,Mint Chocolate Chip,Sweden,Stracciatella,1,0,0,7225
263,Laurie,Key,162.63,Strawberry,Denmark,Strawberry,0,6,0,11474
264,Casey,Merritt,170.95,Butter Pecan,Norway,Vanilla,0,0,0,7102
265,Holly,Pacheco,182.92,Cookies and Cream,Denmark,Vanilla,0,0,0,8966
266,Terrence,Dunlap,169.91,French Vanilla,Norway,Strawberry,0,0,0,14974
267,Judy,Beasley,191.14,Mint Chocolate Chip,Sweden,Chocolate,0,3,0,7028
268,Holly,Walker,165.93,Mint Chocolate Chip,Norway,Stracciatella,1,3,0,6512
269,Patricia,Murphy,166.71,Pistachio,Sweden,Chocolate,1,3,0,6177
270,Laurie,Merritt,177.12,Neapolitan,Norway,Vanilla,1,0,1,7588
271,Bethany,Schultz,155.88,Neapolitan,Sweden,Strawberry,1,0,0,10173
272,Carlos,Hensley,160.82,Mint Chocolate Chip,Sweden,Stracciatella,0,3,0,5047
273,Edwin,Davis,167.68,French Vanilla,Sweden,Chocolate,1,4,0,7225
274,Sheri,Warner,174.78,Butter Pecan,Denmark,Vanilla,0,0,0,4980
275,Nicholas,Young,158.97,Cookies and Cream,Norway,Vanilla,0,6,0,8412
276,Alexander,Stephens,174.78,Strawberry,Sweden,Stracciatella,1,3,0,5728
277,Andrew,Murphy,182.49,Cookies and Cream,Denmark,Strawberry,0,5,0,6112
278,Pamela,Sanchez,162.47,Neapolitan,Norway,Stracciatella,1,0,0,6983
279,Samantha,Gonzales,158.97,French Vanilla,Sweden,Stracciatella,1,3,0,10700
280,Samantha,Reilly,174.39,Mint Chocolate Chip,Norway,Strawberry,1,3,0,13256
281,Bradley,Best,164.59,Butter Pecan,Norway,Vanilla,1,0,0,10202
282,Suzanne,Baird,153.56,Mint Chocolate Chip,Norway,Vanilla,1,3,0,10525
283,Jacqueline,Mccarthy,189.25,Mint Chocolate Chip,Sweden,Vanilla,1,3,0,4454
284,Linda,Baird,171.48,Pistachio,Sweden,Strawberry,1,5,0,9716
285,Emma,Norman,167.03,Cookies and Cream,Denmark,Strawberry,1,3,0,7524
286,Elijah,Rogers,152.49,Mint Chocolate Chip,Sweden,Stracciatella,1,5,0,9417
287,Chelsea,Howell,167.87,Cookies and Cream,Sweden,Stracciatella,1,3,0,5728
288,Dorothy,Warner,164.99,Neapolitan,Norway,Vanilla,0,3,0,8453
289,Perry,Conley,170.57,Mint Chocolate Chip,Sweden,Vanilla,0,0,0,9514
290,Nicholas,Dennis,170.55,Neapolitan,Norway,Vanilla,0,5,0,11499
291,Gary,Murphy,137.99,Cookies and Cream,Sweden,Vanilla,0,3,0,9518
292,Terrence,Thomas,172.95,Mint Chocolate Chip,China,Strawberry,0,5,0,6824
293,Chad,Blankenship,173.05,Strawberry,Japan,Chocolate,1,5,0,7102
294,Kristina,Mccarty,164.93,Neapolitan,Norway,Vanilla,0,3,0,9120
295,Mathew,Hensley,171.18,Neapolitan,Sweden,Vanilla,0,3,0,4689
296,Gordon,Bray,150.14,Neapolitan,Denmark,Strawberry,1,6,0,10554
297,Laurie,Howell,159.81,Strawberry,Japan,Stracciatella,0,3,0,6621
298,Briana,Davidson,173.84,Butter Pecan,Sweden,Vanilla,0,0,0,8685
299,Frank,Valentine,160.82,French Vanilla,Japan,Vanilla,1,6,1,11357
300,Katie,Thomas,179.07,French Vanilla,Sweden,Vanilla,0,6,0,6270
301,Dana,Franklin,157.13,Mint Chocolate Chip,Norway,Chocolate,0,0,0,6924
302,Claire,Warner,182.63,Cookies and Cream,Germany,Vanilla,0,6,0,2316
303,Jeremy,Zimmerman,180.08,Cookies and Cream,Japan,Strawberry,0,4,0,6851
304,Jasmine,Reilly,153.56,Butter Pecan,Sweden,Chocolate,1,5,0,6140
305,Kristy,Weaver,177.88,Strawberry,Denmark,Strawberry,0,3,0,4441
306,Kristin,Daniels,175.25,French Vanilla,Sweden,Chocolate,1,0,0,13288
307,Edward,Erickson,169.27,Neapolitan,Sweden,Chocolate,1,6,0,3456
308,Gary,Howell,188.19,French Vanilla,Denmark,Strawberry,0,3,0,8685
309,Kristie,Bray,164.54,Strawberry,Norway,Vanilla,1,5,0,7775
310,Jerry,Beck,165.47,French Vanilla,China,Vanilla,1,3,0,4546
311,Ricky,Wang,167.36,Cookies and Cream,Sweden,Stracciatella,1,5,0,5680
312,Peggy,Moreno,169.53,Neapolitan,Norway,Strawberry,0,0,0,14492
313,Rebekah,Key,172.44,Mint Chocolate Chip,Denmark,Chocolate,1,0,0,14492
314,Sheri,Herman,176.32,Butter Pecan,Sweden,Vanilla,1,3,0,7524
315,Grace,Savage,153.6,French Vanilla,Sweden,Strawberry,1,3,0,7640
316,Holly,Herman,153.6,French Vanilla,Norway,Vanilla,0,6,0,8412
317,Dana,Garcia,172.73,Cookies and Cream,Norway,Strawberry,0,3,0,11250
318,Caitlyn,Stout,172.92,French Vanilla,Japan,Vanilla,0,4,0,9638
