First Name,Last Name,Height,Flavour,Country of Origin,Favorite Icecream,Like Liquorice,Times Visited Italy,First Time London,Steps per Day
Robert,Harris,160.43,Vanilla,UK,Chocolate,0,2,1,8890
Kathryn,Fisher,174.51,Cookies and Cream,Norway,Vanilla,1,2,1,8524
Donna,Williams,180.65,Chocolate,USA,Stracciatella,0,1,0,4349
Hailey,Watson,173.85,Vanilla,France,Strawberry,0,3,0,5397
Barbara,Bradley,158.99,Butter Pecan,Canada,Chocolate,0,0,0,8437
Kevin,Wells,149.52,Rocky Road,Finland,Vanilla,0,4,0,3780
Evelyn,Gilmore,167.35,Butter Pecan,Brazil,Strawberry,0,0,1,7896
Maria,Williams,181.88,Cookies and Cream,Australia,Stracciatella,0,0,0,7627
Matthew,Reyes,181.55,French Vanilla,Finland,Strawberry,0,3,0,10221
Desiree,Howard,169.56,Chocolate,Germany,Strawberry,0,1,0,9890
Melissa,Scott,187.15,Butter Pecan,China,Chocolate,1,2,0,13288
Regina,Faulkner,161.1,Rocky Road,Sweden,Strawberry,1,3,0,9545
Larry,Rodriguez,167.74,Butter Pecan,Norway,Stracciatella,1,4,0,9541
Kayla,Morgan,191.45,Rocky Road,Sweden,Vanilla,1,2,1,6543
Sydney,Berger,170.19,Butter Pecan,UK,Stracciatella,0,2,1,8245
Nicole,Peterson,173.13,Pistachio,Germany,Pistachio,1,0,0,5320
Carol,Barnett,156.19,French Vanilla,Norway,Chocolate,1,2,1,6995
Dylan,Wilson,170.39,Butter Pecan,Germany,Mint,1,3,0,1924
Diana,Green,166.51,French Vanilla,Brazil,Strawberry,0,0,0,8559
Adam,Smith,169.0,Rocky Road,Sweden,Stracciatella,1,0,0,9514
Maria,Johnson,151.69,Butter Pecan,Japan,Chocolate,0,0,1,10597
Jennifer,Lopez,163.61,French Vanilla,Sweden,Strawberry,1,3,0,9131
Melissa,Cohen,158.57,French Vanilla,Finland,Vanilla,1,1,0,12954
Alexander,Hughes,167.78,Rocky Road,France,Vanilla,0,0,1,9331
Melissa,Hernandez,176.87,Mint Chocolate Chip,Denmark,Strawberry,1,0,0,10323
Christian,Baldwin,159.96,Cookies and Cream,Brazil,Strawberry,0,0,0,12897
Katie,Nunez,160.36,Butter Pecan,Canada,Chocolate,0,0,0,3709
Jeffrey,Stewart,187.85,Rocky Road,UK,Stracciatella,0,3,1,8597
Phillip,Garcia,158.27,Rocky Road,China,Chocolate,1,0,0,6199
Brianna,Banks,173.15,Cookies and Cream,Sweden,Mint,1,2,0,7544
Christopher,Monroe,155.61,Butter Pecan,Brazil,Stracciatella,0,1,1,9764
Jeffrey,Shelton,173.71,Vanilla,Australia,Chocolate,1,0,1,6540
Tonya,Mccarthy,153.92,Vanilla,Italy,Mint,0,0,0,8622
Kimberly,Romero,171.85,Neapolitan,Germany,Chocolate,0,0,0,10698
David,Underwood,163.27,French Vanilla,Norway,Pistachio,1,2,0,8921
Melissa,Miller,170.02,Rocky Road,Japan,Strawberry,0,1,0,5992
David,Smith,170.39,Vanilla,Norway,Pistachio,0,4,0,11485
Jose,Vazquez,178.33,Pistachio,Brazil,Pistachio,0,1,0,8972
Daniel,Greene,180.17,Strawberry,Brazil,Strawberry,0,0,0,7609
Eric,Baldwin,182.13,Chocolate,France,Chocolate,0,1,0,10312
Jeffery,Cook,157.64,Chocolate,Japan,Mint,0,0,0,10001
Peter,Brown,169.24,Rocky Road,Canada,Vanilla,1,0,0,7072
Zachary,Juarez,169.58,Pistachio,Finland,Vanilla,1,1,0,10411
Abigail,Henderson,155.07,Vanilla,Germany,Stracciatella,1,0,0,6586
Karen,Miller,182.16,Mint Chocolate Chip,Germany,Stracciatella,1,3,0,8696
Chase,Jones,187.69,Strawberry,Brazil,Pistachio,0,1,1,8932
Kaylee,Fuller,176.93,Butter Pecan,Canada,Mint,0,1,0,12426
Jennifer,Mills,163.47,Neapolitan,Brazil,Pistachio,1,0,1,11813
Glen,Glass,180.59,Butter Pecan,Australia,Pistachio,0,1,0,10312
Melissa,Turner,168.12,Chocolate,Italy,Stracciatella,0,1,0,8672
Samuel,Young,183.28,Cookies and Cream,Japan,Vanilla,1,0,0,8037
Caleb,Carr,186.94,Neapolitan,Sweden,Stracciatella,1,3,0,7667
Thomas,Barnes,162.41,Neapolitan,Canada,Stracciatella,0,0,1,10928
Anna,Hanson,167.45,Chocolate,Japan,Strawberry,0,0,0,2261
Lisa,Little,179.0,French Vanilla,Denmark,Stracciatella,1,1,0,9087
Robert,Johnson,161.69,Pistachio,China,Vanilla,0,2,0,11538
Lauren,Patterson,163.43,Vanilla,Italy,Stracciatella,1,5,0,6592
Allison,Armstrong,163.08,Vanilla,Brazil,Chocolate,0,0,0,8015
Daniel,Garcia,163.61,Neapolitan,Australia,Vanilla,0,2,0,8140
Linda,Stark,159.92,Neapolitan,Norway,Stracciatella,1,2,0,3397
Katherine,Cherry,179.83,Cookies and Cream,Italy,Chocolate,0,4,0,11833
Brandon,Atkins,169.74,Mint Chocolate Chip,Japan,Chocolate,0,0,1,12467
Andrew,Washington,181.03,Mint Chocolate Chip,Japan,Vanilla,0,0,1,10633
Erin,White,174.41,Pistachio,Finland,Stracciatella,1,2,0,8600
Jeffrey,Evans,156.04,Cookies and Cream,Italy,Stracciatella,0,3,0,1487
Beth,May,153.28,Mint Chocolate Chip,Finland,Stracciatella,1,1,0,1797
Sharon,Gray,163.91,Neapolitan,Japan,Pistachio,0,0,1,7732
Jennifer,Wright,160.3,Pistachio,France,Chocolate,1,0,1,9099
John,Brown,184.74,French Vanilla,China,Chocolate,1,0,0,5180
Beth,Wade,162.21,Butter Pecan,Japan,Pistachio,0,1,1,5553
Benjamin,Watson,168.93,Cookies and Cream,USA,Pistachio,1,0,0,6322
Daniel,Mclaughlin,175.58,Chocolate,China,Mint,0,0,0,7694
Jessica,May,168.84,Rocky Road,USA,Vanilla,0,1,0,8126
Amber,Patel,174.8,Rocky Road,China,Strawberry,0,0,0,9842
Phillip,Goodman,158.48,Rocky Road,France,Vanilla,1,1,0,10272
Megan,Harris,146.5,Vanilla,France,Pistachio,0,2,1,10554
Jill,Garcia,177.31,Chocolate,Canada,Vanilla,0,0,0,5036
Stephanie,Francis,172.88,Mint Chocolate Chip,Norway,Mint,1,2,0,7439
Mark,Prince,156.3,Mint Chocolate Chip,Finland,Vanilla,1,1,1,7856
Norman,Ramirez,186.61,Chocolate,Denmark,Pistachio,1,4,0,12569
William,Andrews,170.86,Rocky Road,Denmark,Chocolate,1,0,0,9616
Blake,Miller,170.35,Chocolate,Germany,Stracciatella,0,2,0,3804
Shirley,Munoz,164.21,Vanilla,Australia,Pistachio,1,0,0,9688
Elizabeth,Johnson,183.65,Rocky Road,Germany,Strawberry,1,1,1,1000
Regina,Trujillo,175.51,Vanilla,Japan,Pistachio,0,0,0,10053
Erin,Schmitt,158.27,Neapolitan,Brazil,Chocolate,0,2,1,9584
Amy,Black,171.62,Cookies and Cream,Japan,Stracciatella,0,0,0,8622
James,Henderson,167.56,French Vanilla,Norway,Chocolate,1,1,0,3117
Kimberly,Keller,178.99,Mint Chocolate Chip,Norway,Strawberry,1,2,1,8144
Frank,Flores,180.61,Butter Pecan,Brazil,Stracciatella,0,0,1,5418
Tammy,Roman,180.92,Mint Chocolate Chip,Sweden,Strawberry,1,3,0,6846
Anthony,Ramirez,163.51,Cookies and Cream,Australia,Pistachio,0,0,0,2689
Daniel,Bowers,173.53,Rocky Road,Australia,Vanilla,0,2,0,4902
Drew,Sanford,176.6,Butter Pecan,France,Chocolate,0,1,0,11503
Andrew,Roy,162.3,French Vanilla,Canada,Strawberry,1,1,1,8763
Michele,Kelly,174.57,Vanilla,USA,Pistachio,1,1,0,10613
Marie,Woods,163.47,Cookies and Cream,Japan,Chocolate,0,1,0,7021
David,Nguyen,187.95,Mint Chocolate Chip,UK,Chocolate,0,2,1,8980
William,Hanson,171.33,Rocky Road,USA,Vanilla,0,0,0,7342
Kendra,Shea,157.31,French Vanilla,Norway,Stracciatella,1,0,0,3564
Wendy,Martinez,154.63,Vanilla,USA,Chocolate,1,1,0,11431
Nicole,Acevedo,153.02,Cookies and Cream,Canada,Vanilla,0,1,0,10491
Haley,Smith,173.29,Vanilla,Finland,Strawberry,1,3,0,5431
Deborah,Peterson,169.57,Chocolate,Canada,Pistachio,1,1,0,6667
Lacey,Nguyen,178.82,Rocky Road,France,Strawberry,0,4,0,9131
Marie,Kirk,188.36,Strawberry,Sweden,Mint,1,2,0,9963
David,Osborn,160.03,Chocolate,France,Pistachio,1,3,0,7833
Kent,Baker,183.76,Pistachio,Germany,Stracciatella,0,4,0,3975
Karen,Schneider,173.07,Mint Chocolate Chip,UK,Pistachio,0,3,1,13660
Cassandra,Schwartz,164.94,Chocolate,Australia,Chocolate,0,1,0,8167
Gina,Lyons,177.49,Chocolate,Denmark,Mint,1,1,0,11282
Matthew,Rocha,161.81,Pistachio,Denmark,Mint,1,0,0,10556
Christine,Williams,174.8,Cookies and Cream,France,Vanilla,0,1,0,1037
Joel,Elliott,176.39,Strawberry,Canada,Stracciatella,0,0,0,7262
Christopher,Mendez,165.77,Mint Chocolate Chip,Brazil,Strawberry,0,0,0,7181
Heather,Webb,163.33,Butter Pecan,Brazil,Mint,0,0,0,7193
Jose,May,181.68,Mint Chocolate Chip,Australia,Stracciatella,1,1,0,4680
Aaron,Williams,178.01,Neapolitan,USA,Stracciatella,1,1,0,6279
Kristen,Williams,163.27,Strawberry,Sweden,Stracciatella,1,2,0,6359
Tiffany,Schwartz,173.38,Strawberry,Canada,Vanilla,0,0,0,11738
Maria,Mullins,173.94,Vanilla,Brazil,Stracciatella,1,0,0,1779
Jessica,Ashley,150.88,Chocolate,China,Vanilla,0,0,0,4668
Tammy,Christian,168.51,Mint Chocolate Chip,France,Chocolate,1,1,0,13256
Melissa,Kennedy,180.66,Vanilla,France,Pistachio,1,1,0,6426
Andrew,Sanchez,166.22,Cookies and Cream,Australia,Chocolate,0,0,1,9468
Carla,Wang,157.26,Chocolate,Brazil,Chocolate,0,2,0,4756
Keith,Williamson,176.9,Vanilla,Italy,Strawberry,0,0,1,9847
Austin,Leblanc,174.63,Neapolitan,Australia,Chocolate,0,0,1,2990
Catherine,Sherman,153.88,Mint Chocolate Chip,Finland,Vanilla,1,2,0,13294
Brenda,Novak,175.34,Chocolate,Australia,Pistachio,0,0,0,11740
Erin,Lee,174.01,Chocolate,Canada,Vanilla,0,0,0,1490
Allison,Barajas,169.55,French Vanilla,Sweden,Pistachio,1,1,0,8342
Lisa,Blair,167.57,Rocky Road,Finland,Vanilla,1,0,0,8450
Nicole,Bass,158.4,Vanilla,Canada,Chocolate,0,1,1,4134
Scott,Hart,155.78,Vanilla,Germany,Mint,0,0,0,8302
Michelle,Harrison,173.39,Vanilla,Australia,Mint,1,0,0,14016
Nicholas,Schwartz,178.47,Pistachio,France,Mint,0,1,1,10152
Daniel,Washington,173.73,Chocolate,USA,Chocolate,0,1,0,4988
Samuel,Callahan,169.23,Cookies and Cream,Brazil,Vanilla,0,0,0,9530
Gabriela,Garcia,164.25,Butter Pecan,Brazil,Strawberry,0,0,1,6955
Amanda,Hall,174.06,Cookies and Cream,Denmark,Mint,1,1,0,8595
Michael,Yoder,172.28,Cookies and Cream,Italy,Mint,0,2,0,8285
Shelly,Rivas,171.63,Pistachio,Brazil,Stracciatella,0,0,0,8537
Bryan,Lewis,165.85,Rocky Road,Norway,Pistachio,1,0,0,2931
Tiffany,Whitaker,162.69,Rocky Road,Sweden,Stracciatella,1,0,1,10961
Justin,Andrews,161.18,Strawberry,Australia,Chocolate,0,0,0,3326
Anita,Hull,156.37,Neapolitan,France,Strawberry,0,3,0,6798
Zachary,Greene,184.3,Rocky Road,France,Vanilla,1,1,0,4041
Edward,Jones,167.82,French Vanilla,UK,Stracciatella,0,6,1,7321
Julia,Foster,167.31,Cookies and Cream,Japan,Vanilla,0,0,0,9288
Andrew,Knight,155.34,Strawberry,Norway,Strawberry,1,2,0,8623
George,Jackson,162.92,Strawberry,USA,Vanilla,0,3,0,6603
Veronica,Young,180.63,Cookies and Cream,UK,Mint,0,0,1,10659
Thomas,Hess,175.88,Neapolitan,Japan,Pistachio,0,0,1,8666
Michelle,Mckay,170.06,Vanilla,Germany,Vanilla,0,1,0,6563
Jasmine,Carter,194.58,Vanilla,Japan,Vanilla,0,1,0,8801
Amanda,Hall,185.15,Strawberry,Finland,Chocolate,1,0,0,10668
Sara,Brooks,182.04,French Vanilla,Canada,Pistachio,1,1,0,11669
Lisa,Carlson,170.48,Strawberry,Canada,Stracciatella,0,0,0,5949
Samantha,Lane,162.57,Cookies and Cream,Finland,Chocolate,1,3,0,6739
Chelsea,Brown,175.44,Chocolate,Brazil,Vanilla,0,0,0,7154
Bianca,Reyes,178.21,Pistachio,UK,Chocolate,0,0,1,2198
Rhonda,Stafford,170.55,Chocolate,UK,Pistachio,0,3,1,4377
Patrick,Watts,178.85,Strawberry,USA,Pistachio,0,2,0,11501
Javier,Carter,168.92,Pistachio,Canada,Mint,0,0,1,12863
Ryan,Oliver,167.04,Rocky Road,Sweden,Pistachio,1,2,1,6879
Jeremy,Scott,187.93,Neapolitan,UK,Pistachio,0,1,1,4479
Maria,Lewis,160.28,Rocky Road,China,Strawberry,0,0,0,15072
Caitlin,Davis,172.96,Pistachio,France,Stracciatella,0,0,0,10813
Joseph,Stevens,175.79,Mint Chocolate Chip,Norway,Strawberry,1,0,0,9630
Blake,Russell,169.27,Mint Chocolate Chip,France,Strawberry,0,0,0,11250
Michael,Byrd,176.94,Mint Chocolate Chip,Brazil,Chocolate,0,0,0,5477
Lauren,Wiggins,174.44,Butter Pecan,Sweden,Stracciatella,1,1,0,7975
Joshua,Smith,166.86,Cookies and Cream,Italy,Pistachio,0,3,0,9751
Tracey,Mitchell,170.99,Strawberry,Australia,Strawberry,0,1,0,6922
Francisco,Gibbs,178.6,Strawberry,Denmark,Vanilla,1,5,0,7498
Veronica,Hernandez,172.82,Rocky Road,USA,Mint,0,1,0,8440
Dean,Howard,176.86,Butter Pecan,UK,Pistachio,0,1,1,10453
Valerie,Hall,154.88,Vanilla,Canada,Vanilla,0,1,0,3531
William,Griffin,148.55,French Vanilla,Japan,Chocolate,0,1,0,9614
Robert,Hernandez,169.34,Butter Pecan,Japan,Strawberry,0,1,1,8143
Ashley,Benson,164.63,Mint Chocolate Chip,Germany,Strawberry,0,1,0,6911
Douglas,Brown,155.01,Cookies and Cream,Canada,Chocolate,0,0,0,8523
Natasha,Jackson,168.52,French Vanilla,China,Strawberry,1,4,0,7606
Sharon,Martinez,188.05,Pistachio,Germany,Mint,0,2,0,1894
Samantha,Wolfe,172.14,Neapolitan,Finland,Pistachio,1,1,0,4936
Patrick,Martin,176.2,Cookies and Cream,Norway,Strawberry,1,2,0,10125
Henry,Brown,180.51,Mint Chocolate Chip,UK,Stracciatella,1,3,1,3423
Jeffery,Smith,172.87,French Vanilla,Japan,Vanilla,0,0,0,5924
Crystal,Smith,170.1,Neapolitan,Sweden,Pistachio,1,1,0,10851
Michael,Webb,157.19,Mint Chocolate Chip,Italy,Pistachio,0,2,0,6971
Garrett,Flores,169.19,Pistachio,Sweden,Vanilla,1,2,1,8589
Christine,Bell,173.84,Strawberry,Germany,Strawberry,0,1,1,10127
Heather,Ward,192.12,French Vanilla,Canada,Vanilla,0,0,0,5777
Zachary,Mcintyre,174.29,Strawberry,Norway,Pistachio,1,2,0,7957
Elizabeth,Duncan,197.03,Strawberry,Germany,Strawberry,1,0,0,15416
Kevin,Moore,166.04,Chocolate,Italy,Strawberry,0,2,0,6512
Megan,Baker,163.18,French Vanilla,UK,Chocolate,1,2,1,15206
Gary,Larson,183.22,Vanilla,Norway,Strawberry,1,1,0,7932
Devon,Hammond,183.72,Rocky Road,France,Stracciatella,0,0,0,4995
Nicole,Black,179.35,Butter Pecan,Sweden,Strawberry,1,2,1,7156
Scott,Moody,194.33,Pistachio,Japan,Mint,1,1,1,13435
Jason,Morris,174.18,Neapolitan,Italy,Stracciatella,0,3,0,9073
Elizabeth,Knight,180.44,Mint Chocolate Chip,Finland,Vanilla,1,3,0,6045
Adam,Lawson,142.95,Rocky Road,Canada,Stracciatella,0,0,0,6548
Don,Benson,157.58,Neapolitan,Brazil,Strawberry,0,0,0,7926
Tina,Silva,170.3,French Vanilla,USA,Vanilla,0,1,0,14426
Gabrielle,Wilson,183.66,Chocolate,China,Chocolate,0,1,0,7227
Walter,Quinn,168.9,Butter Pecan,Sweden,Strawberry,1,3,0,2994
Thomas,Ponce,159.69,Neapolitan,Germany,Stracciatella,0,0,0,3314
Wesley,Mitchell,182.19,Pistachio,Australia,Pistachio,0,0,0,14005
Kyle,Anderson,141.35,Chocolate,Norway,Mint,0,1,0,12429
Nicholas,Brandt,178.84,Butter Pecan,Japan,Vanilla,0,0,0,12140
James,Jordan,184.66,Vanilla,Canada,Vanilla,0,0,0,7923
Sabrina,Cook,161.11,Chocolate,Norway,Chocolate,1,3,0,11518
Robert,Nichols,168.73,Pistachio,Japan,Vanilla,1,0,0,10421
Michael,Dickson,177.23,Pistachio,Finland,Strawberry,1,1,0,4262
Brandon,Clark,156.65,Neapolitan,UK,Pistachio,0,1,1,8230
Joshua,Smith,170.42,Chocolate,Germany,Mint,0,2,0,4151
Tanner,Sweeney,181.91,Neapolitan,Germany,Vanilla,0,1,1,10541
Alexandra,Moon,172.32,Butter Pecan,Italy,Pistachio,0,3,1,11667
Jeffrey,Henderson,154.92,Rocky Road,China,Vanilla,0,0,0,7607
Matthew,Vazquez,166.55,Cookies and Cream,China,Chocolate,0,0,0,4895
Margaret,Martin,162.89,Butter Pecan,Sweden,Chocolate,1,3,0,10748
Bryan,Hudson,159.97,Cookies and Cream,Sweden,Vanilla,1,3,1,9039
Amanda,Ramos,164.23,French Vanilla,China,Pistachio,0,1,0,6128
Kevin,Pittman,162.09,Butter Pecan,Finland,Mint,1,1,0,13742
Mandy,Sanchez,168.36,Rocky Road,UK,Stracciatella,0,4,1,11316
Stacy,Gates,181.17,French Vanilla,Germany,Chocolate,0,3,0,11561
Paul,Harris,165.37,Pistachio,Finland,Chocolate,0,0,0,11015
Jeffrey,Rodriguez,164.72,Pistachio,Denmark,Chocolate,1,4,0,7242
Stacey,Archer,181.37,Chocolate,Brazil,Vanilla,0,2,0,8361
Michael,Mosley,178.71,Neapolitan,Germany,Stracciatella,1,1,0,4913
Tyler,Medina,160.55,Vanilla,China,Mint,0,0,0,6083
Robert,Houston,188.37,Vanilla,Denmark,Stracciatella,1,0,0,4030
Marc,Herring,171.97,Pistachio,Finland,Stracciatella,1,2,0,1000
Jerry,Diaz,172.19,Chocolate,Denmark,Chocolate,1,1,0,14872
Laura,Gregory,177.58,Strawberry,Italy,Pistachio,0,5,1,7241
Tara,Martin,179.56,French Vanilla,Germany,Stracciatella,0,0,0,9176
John,Small,161.37,Strawberry,Canada,Mint,0,0,0,5388
Andrew,Willis,164.85,Neapolitan,Finland,Vanilla,1,2,0,5047
Joseph,Rivera,161.15,Rocky Road,Finland,Mint,1,1,1,9650
James,Love,146.55,Pistachio,France,Chocolate,1,2,0,5094
Timothy,Martinez,175.39,French Vanilla,Finland,Mint,1,4,0,8366
Wanda,Stephens,165.61,Strawberry,China,Strawberry,0,1,0,9629
Brittany,Martin,171.65,French Vanilla,Finland,Chocolate,1,3,0,5844
Shirley,Hall,170.36,Pistachio,France,Vanilla,0,2,0,10684
Teresa,Warren,170.78,Strawberry,Sweden,Chocolate,1,1,0,6937
Whitney,Vargas,164.74,Chocolate,Brazil,Strawberry,1,0,0,9360
Jerome,Pena,175.18,Neapolitan,Italy,Stracciatella,0,1,0,8943
Melissa,Owens,168.35,French Vanilla,Finland,Vanilla,1,2,0,7993
Scott,Prince,171.54,Mint Chocolate Chip,Denmark,Strawberry,1,1,1,9706
Kristin,Fisher,191.77,Strawberry,China,Stracciatella,0,0,1,12885
Benjamin,Crosby,146.49,French Vanilla,Japan,Mint,0,0,0,6052
Michael,Romero,182.59,Vanilla,Sweden,Pistachio,1,1,0,4328
Stacy,Hood,162.16,Chocolate,China,Vanilla,0,0,0,9387
Devin,Delacruz,167.85,Mint Chocolate Chip,Canada,Strawberry,0,0,0,14353
Judy,Payne,177.42,Strawberry,Germany,Pistachio,0,3,1,9674
Susan,Doyle,149.46,Mint Chocolate Chip,Italy,Chocolate,0,1,1,8228
Kendra,Fisher,179.54,Neapolitan,USA,Vanilla,0,1,0,6398
Aaron,Robertson,177.59,French Vanilla,UK,Mint,1,6,1,3778
Eric,Curry,182.66,Chocolate,China,Stracciatella,0,0,0,10124
Daniel,Hudson,164.74,Rocky Road,Denmark,Strawberry,1,1,0,10870
Jonathan,Gray,178.17,French Vanilla,Brazil,Pistachio,1,1,0,4689
Mark,Hawkins,175.22,Pistachio,Japan,Vanilla,0,0,0,1541
Kendra,Evans,167.5,Mint Chocolate Chip,Brazil,Pistachio,0,2,0,8245
John,Barber,179.81,Mint Chocolate Chip,France,Strawberry,0,5,0,7703
Jose,Coleman,173.71,Neapolitan,USA,Stracciatella,1,1,0,11257
Lindsay,Krueger,153.32,Cookies and Cream,Brazil,Vanilla,1,2,0,9424
Cynthia,Reid,175.35,Vanilla,Japan,Pistachio,0,0,0,4804
Sarah,Sanders,160.96,Chocolate,Sweden,Stracciatella,1,0,1,7084
Taylor,Thomas,167.63,Cookies and Cream,Norway,Stracciatella,1,4,0,5181
Sarah,Santana,164.75,Pistachio,Sweden,Chocolate,1,1,0,7567
Jonathan,Ruiz,182.96,Vanilla,China,Mint,1,0,0,5933
Michael,Moore,173.85,French Vanilla,Canada,Stracciatella,0,0,0,7812
Ronald,James,163.9,Butter Pecan,China,Pistachio,0,0,1,6898
Gail,Gutierrez,171.54,Butter Pecan,China,Stracciatella,1,1,0,5879
Pamela,Campbell,155.9,Neapolitan,Finland,Vanilla,0,3,0,4868
Ashley,Bennett,166.11,French Vanilla,Norway,Strawberry,1,1,0,7373
Lisa,Leach,154.64,Chocolate,Japan,Strawberry,0,2,1,6270
Kathleen,Ingram,154.2,Strawberry,Sweden,Mint,1,2,0,1000
Michelle,Wilson,164.37,Rocky Road,China,Mint,0,0,0,7954
Matthew,Becker,173.73,Vanilla,Norway,Strawberry,1,3,0,9737
John,Cardenas,161.1,Vanilla,Japan,Chocolate,1,0,0,1091
Melissa,Greer,173.73,Butter Pecan,France,Mint,0,5,0,6665
Samantha,Williams,167.34,Vanilla,Sweden,Mint,1,2,0,14471
Amy,Roman,166.35,Chocolate,Sweden,Stracciatella,1,3,0,6182
Sarah,Jones,157.85,Rocky Road,Germany,Pistachio,1,3,1,6904
Danny,Bush,184.08,Strawberry,UK,Strawberry,1,0,1,8554
Alyssa,Pugh,159.63,Butter Pecan,Brazil,Pistachio,0,1,0,11601
Susan,Evans,176.87,French Vanilla,Finland,Vanilla,1,1,1,6029
Willie,Logan,168.33,Pistachio,Italy,Stracciatella,0,1,1,9821
Rachel,Chan,157.57,Rocky Road,Italy,Mint,0,0,0,11933
Julie,Moore,172.91,Rocky Road,France,Mint,0,2,0,6069
Kathleen,Morrison,161.85,Rocky Road,Denmark,Pistachio,0,5,0,10783
Robert,Armstrong,149.9,Strawberry,UK,Stracciatella,0,1,1,2786
Edwin,Hendricks,166.89,Butter Pecan,China,Mint,0,1,1,2156
Daniel,Palmer,175.88,Butter Pecan,Australia,Mint,1,1,0,8912
Jason,Kennedy,176.61,Strawberry,Sweden,Chocolate,1,3,0,8797
Michael,Barnes,169.55,Rocky Road,Japan,Mint,0,1,1,8978
Timothy,Farmer,178.63,Butter Pecan,Denmark,Stracciatella,0,0,1,8090
David,Robertson,164.58,Neapolitan,Germany,Stracciatella,1,2,0,9483
Susan,Castro,173.12,Rocky Road,Canada,Strawberry,0,0,0,10170
Anthony,Miller,168.71,Neapolitan,Japan,Stracciatella,0,0,0,8985
Dawn,Carpenter,156.35,Neapolitan,Sweden,Pistachio,1,1,1,10700
Christian,Thomas,160.74,Mint Chocolate Chip,China,Vanilla,0,2,0,6258
Angela,Brown,162.25,Rocky Road,Finland,Chocolate,1,2,0,9765
Wyatt,Ward,171.31,Strawberry,Sweden,Strawberry,1,1,0,3650
Katherine,Cox,169.81,Mint Chocolate Chip,France,Chocolate,1,3,0,4681
Andres,Macias,162.2,Pistachio,Germany,Vanilla,0,3,0,11499
Michael,Smith,155.44,Rocky Road,USA,Chocolate,1,0,0,6281
Russell,Hughes,180.44,Cookies and Cream,Australia,Pistachio,0,0,0,13583
Gabriela,Marshall,154.62,French Vanilla,Finland,Vanilla,1,3,0,13659
Joseph,Yu,161.89,Butter Pecan,Australia,Mint,1,0,0,10089
Christopher,Scott,180.6,Butter Pecan,Sweden,Pistachio,1,2,0,10865
Scott,Holden,173.48,French Vanilla,France,Stracciatella,0,0,0,12540
Erik,Perkins,171.75,French Vanilla,Norway,Mint,0,4,1,9892
